Run,Day,PTEV,PTES,StartingGamma,NumAttributes,RuminationFrequency,W,SSRI,MemoryEntropy,ChunkSimilarity,PTraumatic,CTraumatic,ChunkV
0,5,20,0.25,0.9,6,0,4,FALSE,6.98865,0.020833333333333332,0,0,0.02791666666666667
0,5,20,0.25,0.9,6,0,4,TRUE,6.97382,0.0625,0,0,0.07079
0,5,20,0.25,0.95,6,0,4,FALSE,6.932894117647058,0.022058823529411766,0.058823529411764705,1,0.23218235294117645
0,5,20,0.25,0.95,6,0,4,TRUE,6.983847368421053,0.046052631578947366,0,0,0.06516315789473684
0,6,20,0.25,0.9,6,0,4,FALSE,7.2175375,0,0,0,0
0,6,20,0.25,0.9,6,0,4,TRUE,7.232566666666666,0.05555555555555555,0,0,0.06997777777777778
0,6,20,0.25,0.95,6,0,4,FALSE,7.13505,0.171875,0,0,0.186775
0,6,20,0.25,0.95,6,0,4,TRUE,7.184214285714286,0,0,0,0
0,7,20,0.25,0.9,6,0,4,FALSE,7.104,0.09090909090909091,0,0,0.03553636363636364
0,7,20,0.25,0.9,6,0,4,TRUE,7.168663636363636,0.03409090909090909,0,0,-6.272727272727273e-4
0,7,20,0.25,0.95,6,0,4,FALSE,7.029357142857143,0.03571428571428571,0,0,0.0407
0,7,20,0.25,0.95,6,0,4,TRUE,6.98742,0.05,0,0,0.18130000000000002
0,8,20,0.25,0.9,6,0,4,FALSE,7.3066,0,0,0,0
0,8,20,0.25,0.9,6,0,4,TRUE,7.292142857142857,0,0,0,0
0,8,20,0.25,0.95,6,0,4,FALSE,7.1705,0.08928571428571429,0.14285714285714285,1,0.5077999999999999
0,8,20,0.25,0.95,6,0,4,TRUE,7.2483625,0.046875,0,0,0.0174125
0,9,20,0.25,0.9,6,0,4,FALSE,7.273483333333333,0,0,0,0
0,9,20,0.25,0.9,6,0,4,TRUE,7.294783333333333,0,0,0,0
0,9,20,0.25,0.95,6,0,4,FALSE,7.14449,0.025,0,0,0.01494
0,9,20,0.25,0.95,6,0,4,TRUE,7.254928571428572,0,0,0,0
0,10,20,0.25,0.9,6,0,4,FALSE,7.255308333333334,0.03125,0,0,0.09095
0,10,20,0.25,0.9,6,0,4,TRUE,7.320522222222222,0.06944444444444445,0,0,0.10332222222222222
0,10,20,0.25,0.95,6,0,4,FALSE,7.175157142857143,0,0,0,0
0,10,20,0.25,0.95,6,0,4,TRUE,7.258455555555556,0,0,0,0
0,11,20,0.25,0.9,6,0,4,FALSE,7.227353333333333,0.06666666666666667,0,0,-0.03534
0,11,20,0.25,0.9,6,0,4,TRUE,7.2396666666666665,0.016666666666666666,0,0,-0.01676
0,11,20,0.25,0.95,6,0,4,FALSE,7.09679375,0.0390625,0.0625,1,0.221625
0,11,20,0.25,0.95,6,0,4,TRUE,7.265307692307693,0.057692307692307696,0,0,0.04389230769230769
0,12,20,0.25,0.9,6,0,4,FALSE,7.2299181818181815,0.10227272727272728,0,0,0.0754909090909091
0,12,20,0.25,0.9,6,0,4,TRUE,7.2534,0,0,0,0
0,12,20,0.25,0.95,6,0,4,FALSE,7.0411769230769226,0.0673076923076923,0,0,0.0715076923076923
0,12,20,0.25,0.95,6,0,4,TRUE,7.246554545454545,0.07954545454545454,0,0,0.015636363636363636
0,13,20,0.25,0.9,6,0,4,FALSE,7.18206,0.05,0,0,0.01802
0,13,20,0.25,0.9,6,0,4,TRUE,7.2183363636363636,0.09090909090909091,0,0,0.05594545454545454
0,13,20,0.25,0.95,6,0,4,FALSE,7.09501,0.05,0,0,0.04692
0,13,20,0.25,0.95,6,0,4,TRUE,7.199357142857143,0.044642857142857144,0,0,0.04472142857142857
0,14,20,0.25,0.9,6,0,4,FALSE,7.262915384615384,0.028846153846153848,0,0,0.03286153846153846
0,14,20,0.25,0.9,6,0,4,TRUE,7.2742000000000004,0.05357142857142857,0,0,0.0299
0,14,20,0.25,0.95,6,0,4,FALSE,7.123358333333334,0.052083333333333336,0,0,-0.0011583333333333333
0,14,20,0.25,0.95,6,0,4,TRUE,7.276122222222222,0.06944444444444445,0,0,0.05677777777777778
0,15,20,0.25,0.9,6,0,4,FALSE,7.213573333333334,0.025,0,0,0.04122
0,15,20,0.25,0.9,6,0,4,TRUE,7.27258,0,0,0,0
0,15,20,0.25,0.95,6,0,4,FALSE,7.0727,0.03125,0.08333333333333333,1,0.2932916666666667
0,15,20,0.25,0.95,6,0,4,TRUE,7.178,0.0703125,0,0,0.13846875
0,16,20,0.25,0.9,6,0,4,FALSE,7.265777777777778,0.041666666666666664,0,0,0.0701
0,16,20,0.25,0.9,6,0,4,TRUE,7.298136363636363,0,0,0,0
0,16,20,0.25,0.95,6,0,4,FALSE,7.086325,0.03125,0,0,0.108425
0,16,20,0.25,0.95,6,0,4,TRUE,7.210991666666667,0.03125,0,0,0.041025
0,17,20,0.25,0.9,6,0,4,FALSE,7.33011,0,0,0,0
0,17,20,0.25,0.9,6,0,4,TRUE,7.3829071428571424,0,0,0,0
0,17,20,0.25,0.95,6,0,4,FALSE,7.1572375,0,0,0,0
0,17,20,0.25,0.95,6,0,4,TRUE,7.38434,0,0,0,0
0,18,20,0.25,0.9,6,0,4,FALSE,7.30917,0.125,0,0,0.11180999999999999
0,18,20,0.25,0.9,6,0,4,TRUE,7.341692857142857,0.0625,0,0,0.06642857142857142
0,18,20,0.25,0.95,6,0,4,FALSE,7.14925625,0.0625,0.0625,1,0.27699999999999997
0,18,20,0.25,0.95,6,0,4,TRUE,7.262453333333333,0.15,0,0,0.1414
0,19,20,0.25,0.9,6,0,4,FALSE,7.215145454545454,0.022727272727272728,0,0,0.007127272727272727
0,19,20,0.25,0.9,6,0,4,TRUE,7.29836,0.05,0,0,0.05047
0,19,20,0.25,0.95,6,0,4,FALSE,7.0765666666666664,0.03125,0,0,0.05353333333333333
0,19,20,0.25,0.95,6,0,4,TRUE,7.220309090909091,0.056818181818181816,0,0,0.10496363636363636
0,20,20,0.25,0.9,6,0,4,FALSE,7.39644,0,0,0,0
0,20,20,0.25,0.9,6,0,4,TRUE,7.401355555555556,0.125,0,0,0.11363333333333334
0,20,20,0.25,0.95,6,0,4,FALSE,7.2103142857142855,0,0,0,0
0,20,20,0.25,0.95,6,0,4,TRUE,7.3614,0,0,0,0
0,21,20,0.25,0.9,6,0,4,FALSE,7.299441666666667,0.07291666666666667,0,0,0.035291666666666666
0,21,20,0.25,0.9,6,0,4,TRUE,7.205871428571428,0.03571428571428571,0,0,0.053657142857142855
0,21,20,0.25,0.95,6,0,4,FALSE,7.069785714285715,0.008928571428571428,0.14285714285714285,2,0.4026
0,21,20,0.25,0.95,6,0,4,TRUE,7.241364285714286,0.026785714285714284,0,0,0.03444285714285714
0,22,20,0.25,0.9,6,0,4,FALSE,7.348230769230769,0.028846153846153848,0,0,-0.037307692307692306
0,22,20,0.25,0.9,6,0,4,TRUE,7.329764285714286,0.017857142857142856,0,0,0.03838571428571429
0,22,20,0.25,0.95,6,0,4,FALSE,7.1067833333333335,0.041666666666666664,0.08333333333333333,1,0.28120833333333334
0,22,20,0.25,0.95,6,0,4,TRUE,7.323783333333333,0.020833333333333332,0,0,0.04965833333333333
0,23,20,0.25,0.9,6,0,4,FALSE,7.308583333333333,0.09027777777777778,0,0,0.08135555555555556
0,23,20,0.25,0.9,6,0,4,TRUE,7.3500461538461535,0.07692307692307693,0,0,-0.05266923076923077
0,23,20,0.25,0.95,6,0,4,FALSE,7.0357,0.1513157894736842,0.21052631578947367,4,0.7166842105263158
0,23,20,0.25,0.95,6,0,4,TRUE,7.3109,0.125,0,0,0.06517777777777778
0,24,20,0.25,0.9,6,0,4,FALSE,7.377172727272727,0.022727272727272728,0,0,0.05832727272727272
0,24,20,0.25,0.9,6,0,4,TRUE,7.40075,0,0,0,0
0,24,20,0.25,0.95,6,0,4,FALSE,7.072441666666666,0.125,0.08333333333333333,1,0.28675
0,24,20,0.25,0.95,6,0,4,TRUE,7.3609307692307695,0.04807692307692308,0,0,0.08286153846153846
0,25,20,0.25,0.9,6,0,4,FALSE,7.326907692307692,0.07692307692307693,0,0,0.05250769230769231
0,25,20,0.25,0.9,6,0,4,TRUE,7.39323,0,0,0,0
0,25,20,0.25,0.95,6,0,4,FALSE,7.019923076923077,0.009615384615384616,0,0,0.036061538461538464
0,25,20,0.25,0.95,6,0,4,TRUE,7.325583333333333,0.0625,0,0,0.09918333333333333
0,26,20,0.25,0.9,6,0,4,FALSE,7.089707142857143,0.13392857142857142,0,0,0.24745714285714285
0,26,20,0.25,0.9,6,0,4,TRUE,7.203666666666667,0.041666666666666664,0,0,0.09235555555555555
0,26,20,0.25,0.95,6,0,4,FALSE,6.8690625,0.171875,0,0,0.27375625
0,26,20,0.25,0.95,6,0,4,TRUE,7.233722222222222,0.041666666666666664,0,0,0.055955555555555564
0,27,20,0.25,0.9,6,0,4,FALSE,7.294057142857143,0.03571428571428571,0,0,0.048785714285714286
0,27,20,0.25,0.9,6,0,4,TRUE,7.4193454545454545,0.03409090909090909,0,0,0.047354545454545455
0,27,20,0.25,0.95,6,0,4,FALSE,7.093016666666667,0.0625,0,0,0.060849999999999994
0,27,20,0.25,0.95,6,0,4,TRUE,7.3685875,0.078125,0,0,0.0129
0,28,20,0.25,0.9,6,0,4,FALSE,7.41531,0.025,0,0,0.03473
0,28,20,0.25,0.9,6,0,4,TRUE,7.4745,0.03125,0,0,0.05395
0,28,20,0.25,0.95,6,0,4,FALSE,7.13316,0.05,0.1,1,0.29784
0,28,20,0.25,0.95,6,0,4,TRUE,7.437188888888889,0.08333333333333333,0,0,0.02426666666666667
0,29,20,0.25,0.9,6,0,4,FALSE,7.2929375,0.0703125,0,0,0.01644375
0,29,20,0.25,0.9,6,0,4,TRUE,7.229728571428572,0.05357142857142857,0,0,0.0948047619047619
0,29,20,0.25,0.95,6,0,4,FALSE,6.787528571428571,0.05357142857142857,0,0,0.15144285714285716
0,29,20,0.25,0.95,6,0,4,TRUE,7.339047058823529,0.03676470588235294,0,0,0.0051529411764705884
0,30,20,0.25,0.9,6,0,4,FALSE,7.43275,0.03125,0,0,0.0064875
0,30,20,0.25,0.9,6,0,4,TRUE,7.440828571428571,0,0,0,0
0,30,20,0.25,0.95,6,0,4,FALSE,7.145428571428571,0,0,0,0
0,30,20,0.25,0.95,6,0,4,TRUE,7.442127272727273,0,0,0,0
0,31,20,0.25,0.9,6,0,4,FALSE,7.409633333333333,0,0,0,0
0,31,20,0.25,0.9,6,0,4,TRUE,7.4298,0,0,0,0
0,31,20,0.25,0.95,6,0,4,FALSE,7.12895,0,0,0,0
0,31,20,0.25,0.95,6,0,4,TRUE,7.4648200000000005,0,0,0,0
0,32,20,0.25,0.9,6,0,4,FALSE,7.386781818181818,0.022727272727272728,0,0,0.04914545454545454
0,32,20,0.25,0.9,6,0,4,TRUE,7.387611111111111,0.041666666666666664,0,0,0.05935555555555556
0,32,20,0.25,0.95,6,0,4,FALSE,7.109133333333333,0.020833333333333332,0.16666666666666666,2,0.43712500000000004
0,32,20,0.25,0.95,6,0,4,TRUE,7.408777777777778,0,0,0,0
0,33,20,0.25,0.9,6,0,4,FALSE,7.405253846153846,0.0673076923076923,0,0,0.0209
0,33,20,0.25,0.9,6,0,4,TRUE,7.4425923076923075,0.08653846153846154,0,0,0.1548923076923077
0,33,20,0.25,0.95,6,0,4,FALSE,7.082207692307692,0.028846153846153848,0.07692307692307693,1,0.2778307692307692
0,33,20,0.25,0.95,6,0,4,TRUE,7.41961875,0.0234375,0,0,0.047812499999999994
0,34,20,0.25,0.9,6,0,4,FALSE,7.47403,0,0,0,0
0,34,20,0.25,0.9,6,0,4,TRUE,7.46533,0.0375,0,0,-0.00166
0,34,20,0.25,0.95,6,0,4,FALSE,7.16604,0.0375,0,0,-0.00195
0,34,20,0.25,0.95,6,0,4,TRUE,7.480736363636364,0.056818181818181816,0,0,0.051445454545454544
0,35,20,0.25,0.9,6,0,4,FALSE,7.350286666666666,0.13333333333333333,0,0,0.10111333333333333
0,35,20,0.25,0.9,6,0,4,TRUE,7.431666666666667,0.07291666666666667,0,0,-0.09024166666666666
0,35,20,0.25,0.95,6,0,4,FALSE,7.103373333333333,0.125,0,0,0.09668666666666666
0,35,20,0.25,0.95,6,0,4,TRUE,7.457861538461539,0.057692307692307696,0,0,0.007246153846153847
0,36,20,0.25,0.9,6,0,4,FALSE,7.3887374999999995,0.125,0,0,0.2076
0,36,20,0.25,0.9,6,0,4,TRUE,7.51485,0.03125,0,0,-0.038925
0,36,20,0.25,0.95,6,0,4,FALSE,7.17254,0.0125,0.1,1,0.25718
0,36,20,0.25,0.95,6,0,4,TRUE,7.475575,0.046875,0,0,0.0750875
0,37,20,0.25,0.9,6,0,4,FALSE,7.370476923076923,0.07692307692307693,0,0,0.05033846153846154
0,37,20,0.25,0.9,6,0,4,TRUE,7.434538888888889,0.0625,0,0,0.052616666666666666
0,37,20,0.25,0.95,6,0,4,FALSE,7.095925,0.052083333333333336,0.08333333333333333,1,0.25850833333333334
0,37,20,0.25,0.95,6,0,4,TRUE,7.453764285714286,0,0,0,0
0,38,20,0.25,0.9,6,0,4,FALSE,7.323890476190476,0.05357142857142857,0,0,0.0759857142857143
0,38,20,0.25,0.9,6,0,4,TRUE,7.377338888888889,0.041666666666666664,0,0,0.022000000000000002
0,38,20,0.25,0.95,6,0,4,FALSE,7.028426315789473,0.1118421052631579,0.10526315789473684,2,0.38626315789473686
0,38,20,0.25,0.95,6,0,4,TRUE,7.444307692307692,0,0,0,0
0,39,20,0.25,0.9,6,0,4,FALSE,7.328885714285715,0.07142857142857142,0,0,0.15945714285714285
0,39,20,0.25,0.9,6,0,4,TRUE,7.366077777777778,0.125,0,0,0.16905555555555557
0,39,20,0.25,0.95,6,0,4,FALSE,7.028392857142857,0.05357142857142857,0.14285714285714285,2,0.40349999999999997
0,39,20,0.25,0.95,6,0,4,TRUE,7.362433333333334,0.10833333333333334,0,0,0.12586666666666665
0,40,20,0.25,0.9,6,0,4,FALSE,7.5071666666666665,0.08333333333333333,0,0,0.09518333333333334
0,40,20,0.25,0.9,6,0,4,TRUE,7.548183333333333,0,0,0,0
0,40,20,0.25,0.95,6,0,4,FALSE,7.194385714285715,0.017857142857142856,0.2857142857142857,2,0.6988428571428571
0,40,20,0.25,0.95,6,0,4,TRUE,7.54225,0.041666666666666664,0,0,0.0857
0,41,20,0.25,0.9,6,0,4,FALSE,7.4606,0.017857142857142856,0,0,0.02082857142857143
0,41,20,0.25,0.9,6,0,4,TRUE,7.530914285714286,0,0,0,0
0,41,20,0.25,0.95,6,0,4,FALSE,7.161392857142857,0.03571428571428571,0.14285714285714285,2,0.38593571428571427
0,41,20,0.25,0.95,6,0,4,TRUE,7.499266666666666,0.027777777777777776,0,0,0.030988888888888885
0,42,20,0.25,0.9,6,0,4,FALSE,7.416121052631579,0.08552631578947369,0,0,0.06867368421052632
0,42,20,0.25,0.9,6,0,4,TRUE,7.441558333333333,0.020833333333333332,0,0,0.030741666666666667
0,42,20,0.25,0.95,6,0,4,FALSE,7.111757142857143,0.07142857142857142,0.07142857142857142,1,0.14445714285714287
0,42,20,0.25,0.95,6,0,4,TRUE,7.443233333333334,0.06944444444444445,0,0,-0.005949999999999997
0,43,20,0.25,0.9,6,0,4,FALSE,7.397536363636363,0.06818181818181818,0,0,-0.03516363636363636
0,43,20,0.25,0.9,6,0,4,TRUE,7.42238,0.09375,0,0,0.07804
0,43,20,0.25,0.95,6,0,4,FALSE,7.110266666666667,0.0625,0.08333333333333333,1,0.24437499999999998
0,43,20,0.25,0.95,6,0,4,TRUE,7.405227777777778,0.06944444444444445,0,0,0.06771666666666666
0,44,20,0.25,0.9,6,0,4,FALSE,7.5303,0.125,0,0,0.09921666666666668
0,44,20,0.25,0.9,6,0,4,TRUE,7.516249999999999,0,0,0,0
0,44,20,0.25,0.95,6,0,4,FALSE,7.179171428571428,0.125,0,0,0.08671428571428572
0,44,20,0.25,0.95,6,0,4,TRUE,7.532375,0,0,0,0
0,45,20,0.25,0.9,6,0,4,FALSE,7.4994625,0.0625,0,0,0.0285625
0,45,20,0.25,0.9,6,0,4,TRUE,7.541857142857143,0.017857142857142856,0,0,0.04831428571428571
0,45,20,0.25,0.95,6,0,4,FALSE,7.169858333333333,0.010416666666666666,0.08333333333333333,1,0.1955583333333333
0,45,20,0.25,0.95,6,0,4,TRUE,7.537885714285714,0.05357142857142857,0,0,0.023285714285714285
0,46,20,0.25,0.9,6,0,4,FALSE,7.527088888888889,0,0,0,0
0,46,20,0.25,0.9,6,0,4,TRUE,7.4773375,0.046875,0,0,0.10965
0,46,20,0.25,0.95,6,0,4,FALSE,7.16645,0.07291666666666667,0.08333333333333333,1,0.26240833333333335
0,46,20,0.25,0.95,6,0,4,TRUE,7.531644444444445,0,0,0,0
0,47,20,0.25,0.9,6,0,4,FALSE,7.436145454545454,0.022727272727272728,0,0,0.10234545454545455
0,47,20,0.25,0.9,6,0,4,TRUE,7.526171428571429,0,0,0,0
0,47,20,0.25,0.95,6,0,4,FALSE,7.111344444444445,0.09722222222222222,0,0,0.1260888888888889
0,47,20,0.25,0.95,6,0,4,TRUE,7.49963,0,0,0,0
0,48,20,0.25,0.9,6,0,4,FALSE,7.47536,0,0,0,0
0,48,20,0.25,0.9,6,0,4,TRUE,7.506507692307692,0.04807692307692308,0,0,0.06731538461538461
0,48,20,0.25,0.95,6,0,4,FALSE,7.17490625,0.0390625,0,0,-0.00714375
0,48,20,0.25,0.95,6,0,4,TRUE,7.492177777777778,0.027777777777777776,0,0,0.036988888888888884
0,49,20,0.25,0.9,6,0,4,FALSE,7.484975,0.010416666666666666,0,0,-0.007850000000000001
0,49,20,0.25,0.9,6,0,4,TRUE,7.539575,0,0,0,0
0,49,20,0.25,0.95,6,0,4,FALSE,7.2168875,0,0,0,0
0,49,20,0.25,0.95,6,0,4,TRUE,7.5648,0,0,0,0
0,50,20,0.25,0.9,6,0,4,FALSE,7.52046,0.058333333333333334,0,0,0.05756666666666667
0,50,20,0.25,0.9,6,0,4,TRUE,7.543261111111111,0.041666666666666664,0,0,0.04466666666666666
