Run,PTEV,PTES,NumSlots,NumAttributes,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION
30.0,1.0,0.0,6.0,6.0,2400.,-0.62,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,1.1,0.0,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,199200.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,198000.,0.657,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,196800.,0.656,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,195600.,.1646,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,194400.,.3037,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,193200.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,192000.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,190800.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,189600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,188400.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,187200.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,186000.,.4297,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,184800.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,183600.,.0771,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,182400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,181200.,.4297,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,180000.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,178800.,.6625,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,177600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,176400.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,175200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,174000.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,172800.,.6625,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,171600.,.6625,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,170400.,.5698,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,169200.,.6625,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,168000.,.6625,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,166800.,.3709,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,165600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,164400.,.1225,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,163200.,.6625,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,162000.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,160800.,.5207,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,159600.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,158400.,.1646,0.0,.3333,0.3,5.0
