Run, PTEV, PTES, NumSlots, NumAttributes, Time, ChunkV, ChunkSimilarity
  0.0,   1.0,   0.0,   6.0,   6.0, 11780400., .3393,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11777400., .4051,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11768821., 0.624,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11768160., .5513,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11761800., .4756,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11757960., .5718,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11757721., .4775,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11754181., .6515,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11751000., .5136,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 11701560., .4495,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11695500., .6836,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11678220., .6562,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11678100., .2379,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11676540., .4371,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11674260., .6044,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11668440., .6515,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11667660., .5981,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 11665500., .4195,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11624880., .6678,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11610361., .3393,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11600340., .6112,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11599620., .5981,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11597880., .4705,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11593980., .4954,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11593740., .5718,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11593140., .6579,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11587741., .0234,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 11587680., .4705,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11585221., .2962,   0.0, .8333
  0.0,   1.0,   0.0,   6.0,   6.0, 11583720., .6562,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11578441., .6907,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 11558401., .0367,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11539500., .6678,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11522881., .6562,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11521741., .6515,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11516881., .4606,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11507340., .6678,   0.0, .3333
